Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,PricePerSqFt
Abbotsford,2,h,1480000,2.5,2,1,1.0,202,151.96764988779805,1964,-37.7996,144.9984,7326.732673267326
Abbotsford,2,h,1035000,2.5,2,1,0.0,156,79.0,1900,-37.8079,144.9934,6634.615384615385
Abbotsford,3,h,1465000,2.5,3,2,0.0,134,150.0,1900,-37.8093,144.9944,10932.835820895523
Abbotsford,3,h,850000,2.5,3,2,1.0,94,151.96764988779805,1964,-37.7969,144.9969,9042.553191489362
Abbotsford,4,h,1600000,2.5,3,1,2.0,120,142.0,2014,-37.8072,144.9941,13333.333333333334
Abbotsford,2,h,941000,2.5,2,1,0.0,181,151.96764988779805,1964,-37.8041,144.9953,5198.8950276243095
Abbotsford,3,h,1876000,2.5,4,2,0.0,245,210.0,1910,-37.8024,144.9993,7657.142857142857
Abbotsford,2,h,1636000,2.5,2,1,2.0,256,107.0,1890,-37.806,144.9954,6390.625
Abbotsford,2,h,1097000,2.5,3,1,2.0,220,75.0,1900,-37.801,144.9989,4986.363636363636
Abbotsford,3,h,1350000,2.5,3,2,2.0,214,190.0,2005,-37.8085,144.9964,6308.411214953271
Abbotsford,2,h,1172500,2.5,2,1,1.0,195,151.96764988779805,1964,-37.8084,144.9973,6012.820512820513
Abbotsford,2,h,1310000,2.5,2,1,2.0,238,97.0,1890,-37.809,144.9976,5504.201680672269
Abbotsford,3,h,1200000,2.5,3,2,1.0,113,110.0,1880,-37.8056,144.993,10619.469026548673
Abbotsford,3,h,1176500,2.5,2,1,1.0,138,105.0,1890,-37.8021,144.9965,8525.36231884058
Abbotsford,3,h,955000,2.5,3,1,0.0,183,151.96764988779805,1964,-37.8022,144.9975,5218.579234972678
Abbotsford,2,h,890000,2.5,2,1,1.0,150,73.0,1985,-37.8011,145.0004,5933.333333333333
Abbotsford,4,h,1330000,2.5,4,2,2.0,780,135.0,1900,-37.8073,144.9952,1705.128205128205
Abbotsford,2,h,1100000,2.5,2,2,1.0,124,135.0,2013,-37.8079,144.9977,8870.967741935483
Abbotsford,2,h,1315000,2.5,2,1,0.0,147,85.0,1900,-37.808,144.994,8945.578231292517
Abbotsford,3,h,1447500,2.5,3,3,1.0,166,174.0,2012,-37.8017,145.0001,8719.87951807229
Abbotsford,2,h,1135000,2.5,2,2,2.0,98,128.0,1920,-37.8005,144.9952,11581.632653061224
Abbotsford,3,h,1290000,2.5,3,2,2.0,147,18.0,1967,-37.805,144.9943,8775.510204081633
Abbotsford,3,h,1290000,2.5,3,1,1.0,168,124.0,1950,-37.8007,144.9958,7678.571428571428
Abbotsford,2,h,1180000,2.5,2,1,0.0,162,91.0,1900,-37.8016,144.9956,7283.950617283951
Abbotsford,3,h,1195000,2.5,3,2,1.0,120,128.0,1998,-37.8022,144.9954,9958.333333333334
Abbotsford,2,h,1012500,2.5,2,1,0.0,182,82.0,1900,-37.8021,144.9976,5563.186813186813
Abbotsford,2,h,1030000,2.5,2,1,1.0,172,81.0,1930,-37.8086,144.9946,5988.372093023256
Airport West,2,h,603000,13.5,2,1,1.0,272,84.0,1950,-37.7294,144.888,2216.9117647058824
Airport West,3,h,600000,13.5,2,1,1.0,290,116.0,1980,-37.7273,144.8744,2068.9655172413795
Airport West,3,h,720000,13.5,2,1,1.0,620,151.96764988779805,1964,-37.7173,144.8872,1161.2903225806451
Airport West,4,h,785000,13.5,3,1,2.0,597,127.0,1987,-37.7259,144.8792,1314.9078726968173
Airport West,6,h,725000,13.5,6,3,2.0,976,186.0,1980,-37.7239,144.8735,742.827868852459
Airport West,3,h,895000,13.5,3,1,6.0,1063,133.0,1975,-37.7249,144.8728,841.9567262464723
Airport West,5,h,755000,13.5,3,2,2.0,596,151.96764988779805,1964,-37.7248,144.8699,1266.778523489933
Airport West,3,h,830000,13.5,3,1,2.0,971,113.0,1960,-37.7186,144.876,854.788877445932
Airport West,3,h,670000,13.5,3,2,2.0,657,151.96764988779805,1964,-37.7269,144.8742,1019.7869101978691
Airport West,2,h,675000,13.5,2,1,1.0,612,100.0,1975,-37.7187,144.8765,1102.9411764705883
Airport West,3,h,1042000,13.5,3,2,5.0,612,174.0,1950,-37.7173,144.8796,1702.6143790849674
Airport West,3,h,910000,13.5,3,1,1.0,775,151.96764988779805,1964,-37.7231,144.8835,1174.1935483870968
Airport West,4,h,773000,13.5,5,3,4.0,531,309.0,1980,-37.7263,144.8679,1455.743879472693
Airport West,3,h,810000,13.5,3,3,2.0,555,192.0,1980,-37.7285,144.8694,1459.4594594594594
Airport West,3,h,715000,13.5,3,2,2.0,422,126.0,1995,-37.7164,144.8792,1694.3127962085307
Airport West,3,h,790000,13.5,3,1,3.0,614,151.96764988779805,1964,-37.7194,144.8827,1286.6449511400651
Airport West,3,h,685000,13.5,3,1,1.0,579,113.0,1975,-37.7226,144.8733,1183.0742659758205
