Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,PricePerSqFt
Airport West,3,t,840000,13.5,3,2,1.0,303,225.0,2016,-37.718,144.878,2772.2772277227723
Airport West,3,t,700000,13.5,3,2,2.0,239,134.0,2009,-37.7218,144.8837,2928.8702928870293
Airport West,2,t,450000,13.5,2,1,1.0,110,90.0,2015,-37.7216,144.871,4090.909090909091
Airport West,3,t,700000,13.5,3,2,2.0,165,133.0,2009,-37.727,144.887,4242.424242424242
Airport West,3,t,540000,13.5,2,2,1.0,161,101.0,2010,-37.7231,144.8802,3354.0372670807456
Airport West,3,t,825000,13.5,3,2,1.0,293,102.0,1960,-37.72,144.8776,2815.6996587030717
Albert Park,3,t,1550000,3.3,3,2,2.0,718,151.96764988779805,1964,-37.8443,144.9598,2158.774373259053
Alphington,2,t,805000,6.4,2,2,3.0,155,140.0,2004,-37.7804,145.0308,5193.548387096775
Altona,2,t,720000,13.8,2,1,2.0,292,125.0,2013,-37.8687,144.8197,2465.753424657534
Altona,3,t,800000,13.8,3,2,2.0,280,222.6,1997,-37.8734,144.8143,2857.1428571428573
Altona,3,t,705000,13.8,3,2,2.0,197,152.0,1965,-37.8579,144.8181,3578.680203045685
Altona,3,t,743000,13.8,3,2,2.0,211,176.0,1982,-37.8698,144.816,3521.3270142180095
Altona,3,t,605100,13.8,3,2,0.0,265,151.96764988779805,1964,-37.8583,144.8172,2283.396226415094
Altona North,2,t,421000,11.1,2,1,1.0,77,77.0,2009,-37.8351,144.8529,5467.532467532467
Altona North,2,t,640000,11.1,2,1,1.0,252,86.4,1965,-37.8397,144.8602,2539.6825396825398
Altona North,4,t,847500,11.1,4,3,1.0,252,151.96764988779805,1964,-37.8393,144.8568,3363.095238095238
Armadale,3,t,1205000,6.3,3,2,2.0,101,105.0,2000,-37.854,145.0135,11930.69306930693
Armadale,3,t,1586000,6.3,2,2,2.0,246,151.96764988779805,1964,-37.8566,145.0116,6447.154471544715
Armadale,3,t,1101000,6.3,3,1,2.0,103,3.0,2000,-37.8542,145.0135,10689.320388349515
Ascot Vale,2,t,865000,5.9,2,2,1.0,146,132.0,2015,-37.7713,144.9038,5924.657534246576
Ascot Vale,2,t,705000,5.9,2,2,1.0,113,335.4,1998,-37.7712,144.9088,6238.938053097345
Ascot Vale,3,t,1050000,5.9,3,2,2.0,318,160.0,2013,-37.7744,144.9035,3301.8867924528304
Ascot Vale,3,t,1000000,5.9,3,2,2.0,200,144.0,2003,-37.7766,144.9277,5000.0
Ashburton,3,t,955000,11.0,3,2,2.0,203,151.96764988779805,1964,-37.8655,145.0807,4704.433497536946
Ashburton,3,t,2050000,11.0,3,3,4.0,310,315.0,2014,-37.874,145.0714,6612.903225806452
Ashburton,3,t,968000,11.0,3,1,1.0,227,151.96764988779805,1964,-37.8709,145.0857,4264.31718061674
Ashburton,3,t,900000,11.0,3,2,2.0,153,110.0,1990,-37.8655,145.0808,5882.35294117647
Ashburton,4,t,1250000,11.0,4,2,2.0,321,199.0,2007,-37.8693,145.08,3894.080996884735
Ashburton,3,t,1710000,11.0,3,2,2.0,295,117.6,1990,-37.8624,145.0798,5796.610169491525
Ashwood,2,t,700000,12.2,2,1,2.0,367,110.0,1970,-37.8662,145.109,1907.3569482288829
Ashwood,3,t,900500,12.2,3,2,2.0,256,134.0,2012,-37.8655,145.1096,3517.578125
Ashwood,3,t,830000,12.2,2,1,2.0,212,130.0,2012,-37.8723,145.1089,3915.0943396226417
Avondale Heights,3,t,851000,10.5,3,3,1.0,557,181.0,2017,-37.77,144.8572,1527.8276481149012
Avondale Heights,3,t,880000,10.5,3,2,2.0,339,151.96764988779805,1964,-37.7519,144.8534,2595.8702064896756
Avondale Heights,2,t,585000,10.5,2,1,1.0,136,189.0,2012,-37.7623,144.8613,4301.470588235294
Avondale Heights,2,t,550000,10.5,2,1,2.0,158,184.4,1993,-37.7592,144.8681,3481.012658227848
Balaclava,2,t,1015000,6.6,2,1,2.0,114,120.0,2000,-37.8723,144.9961,8903.508771929824
Balwyn,2,t,1255000,9.7,2,1,1.0,208,129.0,2000,-37.8128,145.0975,6033.653846153846
Balwyn,2,t,760000,9.7,2,1,1.0,121,100.0,1960,-37.8112,145.0881,6280.99173553719
Balwyn,3,t,1367000,9.7,3,2,2.0,219,164.0,2003,-37.8125,145.0849,6242.009132420091
Balwyn,4,t,1400000,9.7,4,3,2.0,241,240.0,2009,-37.8042,145.1042,5809.128630705394
Balwyn,2,t,700000,9.7,2,1,1.0,104,151.96764988779805,1964,-37.8061,145.0878,6730.7692307692305
Balwyn,3,t,1472000,9.7,3,2,2.0,306,170.0,1995,-37.8106,145.0848,4810.4575163398695
Balwyn,3,t,1385000,9.7,3,2,2.0,190,151.96764988779805,1964,-37.8164,145.0846,7289.473684210527
Balwyn,3,t,1100000,9.7,3,2,1.0,259,126.6,1940,-37.8161,145.0809,4247.104247104247
Balwyn North,3,t,1315000,9.2,3,2,2.0,260,167.0,2000,-37.7966,145.1021,5057.692307692308
Balwyn North,3,t,1150000,9.2,3,2,1.0,207,144.0,2003,-37.7893,145.092,5555.555555555556
Balwyn North,4,t,1400000,9.2,4,2,1.0,283,151.96764988779805,1964,-37.7982,145.0688,4946.9964664310955
Balwyn North,2,t,860000,9.2,2,2,2.0,204,151.96764988779805,1964,-37.8008,145.104,4215.686274509804
Balwyn North,4,t,1680000,9.2,4,3,1.0,362,200.0,2014,-37.7987,145.0788,4640.883977900552
Balwyn North,3,t,1137000,9.2,3,2,2.0,349,151.96764988779805,1964,-37.7955,145.0694,3257.8796561604586
Balwyn North,3,t,1238000,9.2,3,2,2.0,186,237.4,2010,-37.8028,145.0828,6655.913978494624
Bentleigh,3,t,895000,13.0,3,2,2.0,362,222.6,1997,-37.9336,145.043,2472.3756906077347
Bentleigh,2,t,851000,13.0,2,1,1.0,140,250.0,1970,-37.9204,145.0443,6078.571428571428
Bentleigh,3,t,900000,13.0,3,2,1.0,418,173.8,1925,-37.9172,145.0421,2153.1100478468898
Bentleigh,4,t,1435000,13.0,3,3,2.0,291,212.0,2012,-37.9278,145.0337,4931.27147766323
Bentleigh,4,t,1155000,13.0,4,3,2.0,271,205.0,2010,-37.9252,145.0494,4261.992619926199
Bentleigh,3,t,1100000,13.0,3,2,2.0,333,151.96764988779805,1964,-37.9292,145.0341,3303.3033033033034
Bentleigh,4,t,1247000,13.0,4,2,3.0,354,255.0,2008,-37.9326,145.0441,3522.598870056497
Bentleigh,3,t,1275000,13.0,3,2,2.0,309,151.96764988779805,1964,-37.9287,145.0461,4126.21359223301
Bentleigh,3,t,825000,13.0,3,2,2.0,147,149.0,2007,-37.9317,145.0352,5612.244897959184
Bentleigh,2,t,670000,13.0,2,2,1.0,123,90.0,2007,-37.9307,145.0379,5447.154471544715
Bentleigh,2,t,680000,13.0,2,1,1.0,83,107.0,1998,-37.9259,145.0341,8192.77108433735
Bentleigh,4,t,1320000,13.0,4,3,3.0,346,220.0,2010,-37.9294,145.041,3815.0289017341042
Bentleigh,4,t,1245000,13.0,4,2,2.0,345,151.96764988779805,1964,-37.9291,145.0491,3608.695652173913
Bentleigh East,3,t,760000,13.9,3,1,2.0,287,151.96764988779805,1964,-37.9261,145.0566,2648.0836236933796
Bentleigh East,3,t,1115000,13.9,3,2,2.0,297,151.96764988779805,1964,-37.9135,145.0774,3754.2087542087543
Bentleigh East,3,t,830000,13.9,0,2,2.0,292,141.0,2012,-37.9168,145.069,2842.4657534246576
Bentleigh East,4,t,1210000,13.9,3,3,2.0,291,222.0,2014,-37.9347,145.0546,4158.07560137457
Bentleigh East,4,t,1160000,13.9,3,2,2.0,321,180.0,2006,-37.914,145.0714,3613.707165109034
Bentleigh East,3,t,800000,13.9,3,2,1.0,353,151.96764988779805,1964,-37.9262,145.055,2266.28895184136
Bentleigh East,4,t,1185000,13.9,4,2,2.0,305,207.0,2012,-37.9245,145.0507,3885.245901639344
Bentleigh East,4,t,1060000,13.9,4,3,1.0,313,166.0,1960,-37.9164,145.0765,3386.5814696485622
Bentleigh East,3,t,860000,13.9,3,2,1.0,254,117.0,1995,-37.9227,145.0558,3385.8267716535433
Bentleigh East,3,t,921000,13.9,3,2,2.0,167,140.0,2009,-37.9219,145.0733,5514.970059880239
Bentleigh East,3,t,805000,13.9,3,2,1.0,268,117.0,2000,-37.9196,145.0691,3003.731343283582
Bentleigh East,3,t,920000,13.9,3,2,1.0,343,151.96764988779805,1964,-37.9112,145.0738,2682.2157434402334
Bentleigh East,4,t,1005000,13.9,4,2,2.0,296,205.0,2006,-37.9197,145.057,3395.2702702702704
Bentleigh East,4,t,1250000,13.9,4,2,2.0,314,231.0,2010,-37.9299,145.0598,3980.891719745223
Bentleigh East,3,t,825000,13.9,3,1,1.0,642,151.96764988779805,1964,-37.9269,145.0787,1285.0467289719627
Bentleigh East,3,t,1030000,13.9,3,2,2.0,327,151.96764988779805,1964,-37.9195,145.0555,3149.847094801223
Bentleigh East,3,t,970000,13.9,3,2,2.0,267,156.0,2000,-37.9176,145.0566,3632.9588014981273
Bentleigh East,3,t,1240000,13.9,3,2,2.0,518,151.96764988779805,1964,-37.9316,145.0542,2393.8223938223937
Bentleigh East,4,t,950000,13.9,4,2,1.0,450,126.6,1940,-37.9133,145.0837,2111.1111111111113
Bentleigh East,4,t,1045000,13.9,4,2,1.0,316,190.0,2010,-37.9198,145.0789,3306.9620253164558
Bentleigh East,4,t,1465000,13.9,3,2,2.0,319,256.0,2015,-37.9256,145.0533,4592.476489028213
Bentleigh East,3,t,935000,13.9,3,2,2.0,230,160.0,2012,-37.9179,145.0592,4065.217391304348
Bentleigh East,3,t,965000,13.9,3,2,1.0,283,28.0,2010,-37.9142,145.08,3409.893992932862
Bentleigh East,3,t,700000,13.9,3,2,2.0,194,200.0,2008,-37.9272,145.0801,3608.2474226804125
Bentleigh East,4,t,1325000,13.9,4,4,2.0,363,265.0,2012,-37.9116,145.0686,3650.137741046832
Bentleigh East,3,t,860000,13.9,3,2,1.0,210,131.0,2005,-37.9075,145.061,4095.2380952380954
Bentleigh East,3,t,882000,13.9,3,2,2.0,208,151.96764988779805,1964,-37.9108,145.0794,4240.384615384615
Bentleigh East,3,t,840000,13.9,3,2,2.0,222,151.96764988779805,1964,-37.9241,145.0668,3783.7837837837837
Bentleigh East,3,t,670000,13.9,3,1,2.0,233,151.96764988779805,1964,-37.9376,145.0784,2875.536480686695
Bentleigh East,4,t,1120000,13.9,3,2,2.0,209,151.96764988779805,1964,-37.9213,145.0565,5358.851674641149
Bentleigh East,3,t,970000,13.9,3,2,2.0,321,151.96764988779805,1964,-37.9181,145.0586,3021.8068535825546
Bentleigh East,3,t,787500,13.9,3,2,1.0,300,151.96764988779805,1964,-37.9189,145.0584,2625.0
Bentleigh East,3,t,780000,13.9,3,2,1.0,209,151.96764988779805,1964,-37.9131,145.07,3732.0574162679427
Box Hill,4,t,975000,13.1,4,2,2.0,299,158.0,2008,-37.8282,145.1301,3260.8695652173915
Box Hill,3,t,750000,13.1,3,2,1.0,150,3.0,2000,-37.8287,145.1319,5000.0
Box Hill,3,t,822500,13.1,3,2,1.0,238,130.0,2000,-37.8154,145.1355,3455.8823529411766
Braybrook,3,t,502000,10.8,3,1,1.0,220,106.0,2011,-37.785,144.8561,2281.818181818182
Braybrook,3,t,579000,10.8,3,2,1.0,198,144.0,2013,-37.7827,144.8625,2924.242424242424
Braybrook,2,t,475000,10.8,2,1,1.0,115,104.0,1980,-37.7948,144.854,4130.434782608696
Braybrook,3,t,505000,10.8,3,2,2.0,4931,151.96764988779805,1964,-37.7761,144.8557,102.41330358953559
Brighton,3,t,1725000,11.2,3,2,2.0,411,225.0,1997,-37.918,145.0035,4197.080291970803
Brighton,3,t,1750000,11.2,3,2,2.0,352,151.96764988779805,1964,-37.9139,145.0035,4971.590909090909
Brighton,3,t,1475000,11.2,3,2,2.0,345,163.0,2000,-37.8943,144.9907,4275.36231884058
Brighton,2,t,960000,11.2,2,1,2.0,363,151.96764988779805,1964,-37.9275,145.0046,2644.628099173554
Brighton,3,t,1962000,11.2,3,2,2.0,323,171.774,1995,-37.9208,144.9996,6074.303405572756
Brighton,3,t,1762000,11.2,3,2,2.0,483,151.96764988779805,1964,-37.9075,145.0064,3648.033126293996
Brighton,3,t,1427000,11.2,3,2,1.0,313,151.96764988779805,1964,-37.9206,145.0,4559.105431309904
Brighton,3,t,2517500,11.2,3,3,2.0,311,151.96764988779805,1964,-37.9148,145.0009,8094.855305466238
Brighton,2,t,1230000,11.2,2,2,2.0,201,151.96764988779805,1964,-37.905,144.9959,6119.4029850746265
Brighton,2,t,1037000,11.2,2,1,2.0,125,2.0,2009,-37.9078,145.0051,8296.0
Brighton,4,t,1630000,11.2,4,2,2.0,432,196.0,2000,-37.9228,145.0022,3773.1481481481483
Brighton,4,t,2250000,11.2,4,2,2.0,230,281.0,2012,-37.9237,145.0056,9782.608695652174
Brighton,3,t,1425000,11.2,3,2,2.0,495,151.96764988779805,1964,-37.9049,145.0069,2878.787878787879
Brighton,2,t,1400000,11.2,2,2,1.0,267,151.96764988779805,1964,-37.9159,144.9933,5243.445692883895
Brighton East,3,t,1302500,10.7,3,2,2.0,391,151.96764988779805,1964,-37.9179,145.0091,3331.202046035806
Brighton East,3,t,870000,10.7,3,2,2.0,158,151.96764988779805,1964,-37.9271,145.0281,5506.329113924051
Brighton East,4,t,1100000,10.7,4,3,2.0,302,151.96764988779805,1964,-37.9317,145.0294,3642.384105960265
Brighton East,4,t,2570000,10.7,4,3,2.0,898,151.96764988779805,1964,-37.9176,145.0087,2861.915367483296
Brighton East,3,t,1300000,10.7,3,2,2.0,337,222.0,2000,-37.9196,145.0205,3857.566765578635
Brighton East,1,t,681000,10.7,2,1,1.0,166,60.0,2012,-37.9159,145.019,4102.409638554217
