Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,PricePerSqFt
Abbotsford,3,u,1090000,2.5,3,2,2.0,4290,27.0,1998,-37.8078,144.9965,254.07925407925407
Airport West,2,u,500000,13.5,2,1,1.0,168,86.0,2011,-37.7215,144.8864,2976.190476190476
Airport West,2,u,515000,13.5,2,1,1.0,141,73.0,2013,-37.7298,144.8883,3652.482269503546
Airport West,2,u,530000,13.5,2,1,1.0,120,94.0,2012,-37.7234,144.8792,4416.666666666667
Airport West,3,u,752000,13.5,3,1,1.0,265,130.0,1993,-37.7302,144.8855,2837.735849056604
Airport West,2,u,440000,13.5,2,1,1.0,192,151.96764988779805,1964,-37.7177,144.8787,2291.6666666666665
Airport West,2,u,462500,13.5,2,1,1.0,164,126.2,2003,-37.7218,144.8863,2820.121951219512
Airport West,2,u,510000,13.5,2,1,1.0,141,76.0,1985,-37.7202,144.8797,3617.021276595745
Alphington,2,u,525500,6.4,2,1,1.0,88,60.0,1960,-37.7791,145.0306,5971.590909090909
Alphington,2,u,820000,6.4,2,1,1.0,183,151.96764988779805,1964,-37.7747,145.0264,4480.87431693989
Altona,3,u,630000,13.8,2,1,2.0,311,94.0,1955,-37.8702,144.8143,2025.7234726688102
Altona,2,u,406000,13.8,2,1,1.0,65,151.96764988779805,1964,-37.8693,144.8171,6246.153846153846
Altona,2,u,580000,13.8,2,1,1.0,225,93.0,1988,-37.8696,144.827,2577.777777777778
Altona,2,u,510000,13.8,2,1,1.0,127,76.0,1990,-37.8686,144.8182,4015.748031496063
Altona,2,u,425000,13.8,2,1,2.0,115,57.0,1980,-37.871,144.8185,3695.6521739130435
Altona,3,u,605000,13.8,3,2,2.0,230,151.96764988779805,1964,-37.8646,144.827,2630.4347826086955
Altona,3,u,730000,13.8,3,2,1.0,69,141.0,2014,-37.868,144.8286,10579.710144927536
Altona,2,u,620000,13.8,2,1,1.0,168,151.96764988779805,1964,-37.8676,144.8202,3690.4761904761904
Altona,2,u,447000,13.8,2,1,1.0,137,77.0,1990,-37.8655,144.8299,3262.7737226277372
Altona,3,u,730000,13.8,3,2,1.0,70,151.96764988779805,1964,-37.868,144.8287,10428.57142857143
Altona,2,u,580000,13.8,2,2,1.0,175,76.0,2013,-37.8687,144.8268,3314.285714285714
Altona,3,u,577000,13.8,3,2,1.0,205,113.0,2007,-37.8684,144.815,2814.6341463414633
Altona,3,u,605000,13.8,3,1,2.0,181,151.96764988779805,1964,-37.8659,144.822,3342.5414364640883
Altona,3,u,730000,13.8,3,2,1.0,70,3.0,2014,-37.868,144.8285,10428.57142857143
Altona North,2,u,292000,11.1,2,1,1.0,153,70.0,1970,-37.8332,144.8649,1908.4967320261437
Armadale,2,u,550000,6.3,2,1,0.0,861,151.96764988779805,1964,-37.8539,145.0284,638.7921022067363
Armadale,3,u,735000,6.3,3,2,1.0,2113,14.0,1970,-37.8543,145.0262,347.8466635115949
Armadale,1,u,390000,6.3,1,1,0.0,881,151.96764988779805,1964,-37.8614,145.0222,442.6787741203178
Armadale,2,u,710000,6.3,2,1,1.0,2471,80.0,1970,-37.8573,145.0186,287.33306353702955
Armadale,2,u,872000,6.3,2,1,1.0,1194,108.4,1953,-37.8604,145.0147,730.3182579564489
Ascot Vale,2,u,490000,5.9,2,1,1.0,423,62.0,1970,-37.7736,144.9015,1158.3924349881797
Ascot Vale,2,u,685000,5.9,2,1,2.0,228,90.0,1995,-37.7718,144.9066,3004.3859649122805
Ascot Vale,2,u,610000,5.9,2,1,1.0,301,104.0,1995,-37.7791,144.914,2026.578073089701
Ascot Vale,2,u,390000,5.9,2,1,1.0,1957,69.0,2012,-37.7731,144.9074,199.2846193152785
Ascot Vale,2,u,545000,5.9,2,1,2.0,194,71.0,1900,-37.7772,144.9118,2809.278350515464
Ashburton,2,u,500000,11.0,2,1,1.0,710,237.4,2010,-37.8636,145.0794,704.2253521126761
Ashwood,3,u,1045000,12.2,3,2,2.0,467,151.96764988779805,1964,-37.8639,145.0968,2237.6873661670234
Ashwood,2,u,690000,12.2,2,1,1.0,216,90.0,2003,-37.8711,145.1017,3194.4444444444443
Ashwood,2,u,600000,12.2,2,1,1.0,153,80.0,1970,-37.8696,145.0962,3921.5686274509803
Ashwood,2,u,535000,12.2,2,1,1.0,72,151.96764988779805,1964,-37.8702,145.1042,7430.555555555556
Ashwood,2,u,700000,12.2,2,1,2.0,192,88.0,2007,-37.8709,145.102,3645.8333333333335
Avondale Heights,3,u,665000,10.5,3,2,1.0,289,151.96764988779805,1964,-37.7644,144.8657,2301.038062283737
Avondale Heights,2,u,440000,10.5,2,1,1.0,263,155.8,1999,-37.7697,144.8657,1673.0038022813687
Avondale Heights,3,u,500000,10.5,3,1,1.0,260,117.6,1990,-37.7507,144.8576,1923.076923076923
Balaclava,2,u,540000,6.6,2,1,1.0,483,51.0,1970,-37.8727,144.9969,1118.0124223602484
Balwyn,3,u,1070000,9.7,3,2,2.0,206,112.0,1998,-37.8161,145.0812,5194.174757281553
Balwyn,2,u,806000,9.7,2,1,1.0,122,97.0,1977,-37.8124,145.0916,6606.55737704918
Balwyn,2,u,812000,9.7,2,1,1.0,206,151.96764988779805,1964,-37.8092,145.0778,3941.747572815534
Balwyn,2,u,805000,9.7,3,1,1.0,209,115.4,1975,-37.8125,145.0901,3851.6746411483255
Balwyn,2,u,625000,9.7,2,1,1.0,115,104.0,1960,-37.8122,145.0879,5434.782608695652
Balwyn,2,u,1053000,9.7,2,1,2.0,231,98.0,1985,-37.8123,145.0821,4558.441558441558
Balwyn,2,u,754000,9.7,2,1,1.0,87,88.0,1990,-37.8134,145.081,8666.666666666666
Balwyn,2,u,755000,9.7,2,1,1.0,213,92.0,1980,-37.8092,145.0789,3544.6009389671362
Balwyn,2,u,730000,9.7,2,1,1.0,130,80.0,1960,-37.812,145.0876,5615.384615384615
Balwyn North,3,u,1050000,9.2,3,2,2.0,244,151.96764988779805,1964,-37.7933,145.0672,4303.2786885245905
Balwyn North,2,u,735000,9.2,2,1,1.0,1075,76.8,1970,-37.7953,145.0712,683.7209302325581
Balwyn North,2,u,1040000,9.2,2,1,1.0,250,112.0,1995,-37.7996,145.0959,4160.0
Bentleigh,2,u,636000,13.0,2,1,2.0,202,126.8,1974,-37.9165,145.0259,3148.5148514851485
Bentleigh,3,u,875000,13.0,3,1,2.0,348,121.0,1950,-37.9273,145.0479,2514.367816091954
Bentleigh,2,u,650000,13.0,2,1,1.0,116,92.0,1960,-37.9245,145.0336,5603.448275862069
Bentleigh,2,u,420000,13.0,2,1,0.0,1045,151.96764988779805,1964,-37.9158,145.0379,401.9138755980861
Bentleigh,2,u,855000,13.0,2,2,3.0,226,475.0,2005,-37.9274,145.031,3783.1858407079644
Bentleigh,2,u,725000,13.0,2,1,1.0,227,100.0,1990,-37.9326,145.0387,3193.8325991189427
Bentleigh,2,u,797500,13.0,2,1,2.0,321,151.96764988779805,1964,-37.9257,145.0501,2484.423676012461
Bentleigh,2,u,725000,13.0,2,1,1.0,677,88.0,2012,-37.9173,145.0359,1070.901033973412
Bentleigh,2,u,820000,13.0,2,1,3.0,336,109.0,1960,-37.929,145.0375,2440.4761904761904
Bentleigh,2,u,635000,13.0,2,1,2.0,118,151.96764988779805,1964,-37.9245,145.0336,5381.35593220339
Bentleigh,3,u,1096000,13.0,3,2,2.0,292,151.96764988779805,1964,-37.9273,145.0324,3753.4246575342468
Bentleigh,2,u,760000,13.0,2,1,1.0,192,151.96764988779805,1964,-37.9193,145.0484,3958.3333333333335
Bentleigh East,2,u,746000,13.9,2,1,2.0,281,95.0,2002,-37.9255,145.0796,2654.8042704626337
Bentleigh East,1,u,580000,13.9,1,1,1.0,105,151.96764988779805,1964,-37.9181,145.0586,5523.809523809524
Bentleigh East,3,u,1025000,13.9,3,2,2.0,384,120.0,1999,-37.9229,145.0557,2669.2708333333335
Bentleigh East,3,u,740000,13.9,3,2,1.0,258,151.96764988779805,1964,-37.9244,145.0547,2868.217054263566
Bentleigh East,2,u,495000,13.9,2,1,1.0,76,79.0,1980,-37.91,145.0842,6513.1578947368425
Bentleigh East,2,u,570000,13.9,2,1,1.0,145,151.96764988779805,1964,-37.9193,145.0659,3931.0344827586205
Bentleigh East,2,u,651000,13.9,2,1,1.0,265,150.0,1960,-37.9223,145.0747,2456.603773584906
Bentleigh East,2,u,495000,13.9,2,1,1.0,96,151.96764988779805,1964,-37.9102,145.0709,5156.25
Bentleigh East,2,u,716000,13.9,2,1,2.0,212,151.96764988779805,1964,-37.9218,145.0607,3377.3584905660377
Bentleigh East,3,u,720000,13.9,3,2,1.0,228,221.6,1996,-37.9329,145.0617,3157.8947368421054
Bentleigh East,2,u,761000,13.9,2,1,2.0,282,151.96764988779805,1964,-37.9073,145.0599,2698.581560283688
Bentleigh East,2,u,835000,13.9,2,2,1.0,362,151.96764988779805,1964,-37.9149,145.0676,2306.6298342541436
Bentleigh East,3,u,791000,13.9,3,3,1.0,391,122.0,1950,-37.9149,145.0788,2023.0179028132993
Bentleigh East,3,u,800000,13.9,3,2,2.0,252,172.2,1994,-37.9085,145.0683,3174.6031746031745
Bentleigh East,2,u,655000,13.9,2,1,1.0,154,80.0,2000,-37.9079,145.0685,4253.2467532467535
Bentleigh East,3,u,920000,13.9,3,2,1.0,388,123.0,2007,-37.9329,145.053,2371.134020618557
Bentleigh East,3,u,810000,13.9,3,2,1.0,316,277.2,1950,-37.9245,145.0773,2563.2911392405063
Bentleigh East,3,u,870000,13.9,3,2,2.0,365,150.0,2011,-37.9225,145.0754,2383.5616438356165
Bentleigh East,3,u,770000,13.9,3,2,1.0,281,132.0,2005,-37.9257,145.0811,2740.2135231316724
Bentleigh East,2,u,772500,13.9,2,1,2.0,318,151.96764988779805,1964,-37.9218,145.0563,2429.245283018868
Bentleigh East,2,u,715000,13.9,2,1,1.0,194,114.0,1995,-37.9107,145.0598,3685.5670103092784
Bentleigh East,3,u,790000,13.9,3,1,2.0,406,100.0,1996,-37.9286,145.0737,1945.8128078817733
Bentleigh East,3,u,800000,13.9,3,2,2.0,261,151.96764988779805,1964,-37.9163,145.0779,3065.1340996168583
Bentleigh East,3,u,830000,13.9,3,2,2.0,395,132.6,2001,-37.9364,145.0649,2101.26582278481
Box Hill,2,u,645000,13.1,2,1,1.0,140,81.0,1965,-37.8271,145.1299,4607.142857142857
Box Hill,2,u,790000,13.1,2,1,1.0,195,151.96764988779805,1964,-37.826,145.129,4051.2820512820513
Box Hill,1,u,288000,13.1,1,1,1.0,774,76.8,1970,-37.8241,145.1262,372.09302325581393
Box Hill,2,u,616000,13.1,3,1,1.0,155,151.96764988779805,1964,-37.8193,145.1149,3974.1935483870966
Box Hill,3,u,775000,13.1,3,1,1.0,211,108.0,1980,-37.8275,145.1232,3672.9857819905214
Box Hill,1,u,340000,13.1,1,1,1.0,29,151.96764988779805,1964,-37.8215,145.1214,11724.137931034482
Box Hill,2,u,761000,13.1,2,2,1.0,176,104.6,2000,-37.8171,145.1343,4323.863636363636
Box Hill,2,u,636000,13.1,2,1,1.0,151,82.0,1970,-37.8234,145.1235,4211.920529801325
Box Hill,2,u,560000,13.1,2,1,1.0,153,76.8,1970,-37.8269,145.1305,3660.1307189542486
Braybrook,3,u,495000,10.8,3,2,1.0,327,124.0,2006,-37.7851,144.8517,1513.7614678899083
Brighton,2,u,1300000,11.2,2,2,1.0,244,104.6,2000,-37.8954,145.0026,5327.868852459016
Brighton,2,u,1300000,11.2,2,2,2.0,329,132.0,1940,-37.9172,145.004,3951.367781155015
Brighton,2,u,800000,11.2,2,1,1.0,90,74.0,1960,-37.9122,145.0038,8888.888888888889
Brighton,2,u,892500,11.2,2,1,2.0,232,92.0,1970,-37.9157,144.9973,3846.9827586206898
Brighton,2,u,985000,11.2,2,1,1.0,611,151.96764988779805,1964,-37.9039,145.0009,1612.1112929623569
Brighton,3,u,1602000,11.2,3,2,2.0,328,151.96764988779805,1964,-37.9288,144.9954,4884.1463414634145
